visa_type,country,processing_center,processing_time_days
Tourist,Japan,Delhi,49
Work,India,Tokyo,23
Student,India,Tokyo,27
Family,USA,Paris,51
Tourist,Brazil,Toronto,57
Tourist,Australia,Tokyo,19
Tourist,Japan,New York,41
Student,Canada,London,55
Work,Japan,London,32
Tourist,Japan,Beijing,47
Work,France,New York,19
Business,Germany,Sao Paulo,53
Student,UK,Beijing,27
Work,Brazil,Delhi,13
Work,UK,Berlin,12
Tourist,China,Toronto,38
Tourist,Japan,Beijing,21
Student,UK,New York,15
Work,France,Paris,47
Family,France,London,33
Tourist,Australia,Toronto,37
Tourist,USA,London,46
Business,Australia,Sao Paulo,41
Student,China,Berlin,28
Work,Germany,Beijing,50
Work,India,Tokyo,14
Work,UK,Delhi,13
Tourist,France,Toronto,39
Student,India,Toronto,36
Work,Brazil,Berlin,43
Family,UK,Delhi,15
Business,UK,Paris,56
Business,France,Berlin,24
Work,India,Paris,30
Tourist,Brazil,Delhi,43
Business,Canada,London,57
Business,Germany,Sydney,39
Business,China,Berlin,14
Business,Brazil,London,23
Work,UK,Tokyo,33
Student,Brazil,Toronto,45
Student,Australia,Berlin,24
Tourist,Canada,Berlin,58
Family,USA,Toronto,33
Student,Australia,Beijing,37
Family,UK,Tokyo,33
Student,Japan,Beijing,32
Student,UK,Berlin,16
Tourist,Japan,New York,19
Business,Australia,Paris,54
Tourist,France,Beijing,57
Student,Japan,Toronto,42
Business,France,Toronto,47
Business,USA,Delhi,18
Business,UK,Beijing,56
Family,France,Berlin,48
Student,Canada,Beijing,30
Work,Brazil,New York,38
Tourist,China,Toronto,58
Family,Australia,Berlin,38
Tourist,Australia,Beijing,15
Work,Germany,Sydney,52
Business,Canada,Beijing,13
Work,India,London,28
Tourist,France,Sao Paulo,53
Work,India,Delhi,58
Student,China,Paris,52
Work,UK,Sydney,20
Student,UK,Sao Paulo,28
Work,Australia,London,57
Student,France,Delhi,16
Student,Canada,Beijing,52
Work,Australia,Beijing,29
Family,Australia,Paris,16
Business,India,Sydney,51
Business,Germany,London,21
Business,India,Toronto,24
Student,Germany,Sydney,54
Business,France,Toronto,25
Student,China,New York,19
Family,France,Sydney,52
Work,Australia,Paris,25
Work,Australia,Paris,34
Student,Japan,Sydney,18
Student,Australia,London,10
Family,Canada,Paris,22
Business,Brazil,Delhi,30
Family,Brazil,Berlin,35
Work,Australia,Paris,25
Work,France,Toronto,10
Business,Japan,Beijing,58
Work,Brazil,Toronto,43
Student,Brazil,Delhi,24
Work,France,Sydney,12
Tourist,France,Sao Paulo,23
Business,Germany,Toronto,44
Business,India,Toronto,29
Business,China,Toronto,60
Tourist,China,Tokyo,43
Family,UK,Tokyo,36
Student,China,Paris,45
Business,USA,Sao Paulo,41
Work,UK,Tokyo,40
Student,UK,Toronto,15
Work,Brazil,New York,42
Student,India,New York,47
Student,Germany,Sao Paulo,38
Work,China,Paris,30
Work,France,London,49
Student,Japan,Delhi,56
Business,USA,New York,34
Work,USA,Sydney,24
Tourist,USA,Berlin,33
Tourist,France,Sao Paulo,17
Student,USA,Sydney,23
Family,Australia,Delhi,29
Student,Canada,Delhi,42
Student,Brazil,Sydney,45
Business,Japan,Berlin,44
Business,USA,Delhi,47
Family,India,Paris,59
Family,USA,Toronto,51
Family,Brazil,London,16
Family,Canada,Sydney,33
Family,France,Toronto,21
Student,France,Sao Paulo,25
Student,USA,Sydney,26
Tourist,Canada,Delhi,50
Tourist,USA,Sydney,44
Work,Germany,Delhi,32
Student,Brazil,Toronto,31
Family,France,Toronto,24
Work,Canada,Sydney,34
Business,India,Sao Paulo,29
Student,Germany,Sao Paulo,14
Tourist,UK,Paris,38
Student,USA,Berlin,13
Student,Australia,Berlin,41
Student,USA,Paris,34
Student,Brazil,Berlin,46
Business,France,Toronto,34
Tourist,UK,Tokyo,17
Student,USA,Beijing,43
Business,France,Beijing,31
Work,Australia,Sao Paulo,48
Student,China,Tokyo,28
Business,Canada,Berlin,56
Family,Brazil,Delhi,34
Work,Germany,London,13
Tourist,China,Sydney,56
Student,Germany,Sydney,41
Student,Australia,Delhi,45
Business,Canada,Tokyo,44
Tourist,UK,Sao Paulo,41
Family,India,Berlin,25
Work,France,Sao Paulo,34
Tourist,Germany,Sydney,38
Student,Australia,Beijing,15
Business,China,Delhi,59
Family,Canada,Tokyo,24
Business,Canada,Toronto,16
Work,USA,Tokyo,28
Tourist,Australia,Berlin,34
Business,Canada,Beijing,31
Business,India,New York,25
Student,Japan,Paris,16
Business,Germany,Tokyo,58
Family,USA,Delhi,36
Tourist,Australia,Berlin,50
Work,India,Beijing,12
Business,USA,Paris,43
Family,Germany,Delhi,37
Work,UK,New York,23
Family,Germany,Sao Paulo,34
Business,Australia,Sao Paulo,12
Business,Canada,Berlin,25
Tourist,Brazil,Sydney,20
Student,Japan,Delhi,16
Family,Brazil,Sydney,28
Student,Canada,Berlin,11
Student,Canada,Berlin,53
Work,France,Paris,18
Work,Germany,Sydney,44
Family,India,New York,39
Student,Brazil,Berlin,56
Tourist,USA,Delhi,42
Student,China,Delhi,18
Work,Japan,Sydney,44
Student,Germany,Sydney,57
Business,USA,Delhi,22
Business,France,Paris,45
Tourist,India,Tokyo,12
Family,France,Paris,56
Student,Canada,Delhi,27
Business,India,Paris,18
Family,UK,Toronto,10
Business,Germany,Sydney,10
Family,Germany,London,43
Family,France,Berlin,52
Business,China,Tokyo,55
Work,Australia,London,45
Family,Germany,London,12
Student,France,Paris,14
Business,UK,Delhi,19
Work,Canada,Delhi,40
Business,France,New York,37
Tourist,Australia,Sao Paulo,57
Student,India,Delhi,49
Tourist,USA,Sydney,37
Family,UK,Sao Paulo,59
Family,Germany,Tokyo,17
Tourist,Brazil,Paris,20
Tourist,UK,London,50
Family,Japan,Delhi,26
Work,Japan,Sydney,33
Student,France,Berlin,41
Business,Japan,New York,45
Tourist,France,Tokyo,38
Student,Japan,Beijing,16
Business,China,Sao Paulo,32
Business,China,Berlin,25
Tourist,Canada,New York,37
Work,Germany,New York,47
Work,Japan,Sydney,24
Student,China,New York,13
Student,Germany,London,24
Family,Australia,Tokyo,36
Work,Japan,Berlin,49
Student,Japan,Sao Paulo,57
Family,Japan,Toronto,34
Business,Canada,Paris,51
Student,UK,Beijing,10
Family,Australia,Berlin,37
Work,USA,Berlin,21
Business,Germany,Tokyo,12
Student,Germany,Berlin,53
Work,USA,Sao Paulo,30
Business,Australia,New York,36
Tourist,China,London,34
Work,Germany,Tokyo,38
Tourist,France,Beijing,36
Student,Brazil,Sao Paulo,55
Family,India,Beijing,40
Student,Canada,Sao Paulo,52
Work,Japan,Tokyo,23
Tourist,USA,Sydney,21
Tourist,China,Tokyo,15
Business,France,Tokyo,55
Student,Canada,London,24
Student,France,Sydney,10
Work,Brazil,Sydney,59
Tourist,Brazil,Beijing,24
Work,India,Delhi,56
Work,Germany,London,37
Tourist,Australia,Berlin,53
Work,USA,Berlin,23
Tourist,Germany,Berlin,32
Work,UK,Sao Paulo,14
Family,China,Tokyo,48
Work,Australia,Sao Paulo,45
Work,UK,Delhi,46
Family,India,New York,37
Student,Brazil,London,51
Tourist,India,New York,46
Business,Australia,New York,28
Family,China,London,46
Student,Germany,Berlin,55
Work,Japan,Toronto,31
Student,France,Tokyo,16
Family,UK,Paris,29
Work,Germany,New York,20
Student,India,Toronto,12
Business,USA,Delhi,33
Tourist,Japan,London,30
Tourist,Brazil,Toronto,52
Family,France,Tokyo,38
Work,Germany,Tokyo,54
Work,Brazil,London,16
Tourist,USA,Sydney,20
Student,USA,Sao Paulo,57
Work,Germany,Sao Paulo,24
Business,Germany,Sydney,33
Business,Australia,Tokyo,21
Work,Brazil,Sydney,52
Work,Canada,London,50
Tourist,Australia,Berlin,55
Family,Japan,Delhi,54
Tourist,China,London,31
Family,Brazil,London,35
Business,India,Delhi,19
Family,Japan,Delhi,32
Tourist,France,Paris,49
Work,USA,Paris,31
Family,China,Tokyo,27
Tourist,UK,Sao Paulo,55
Business,UK,Sydney,35
Family,Australia,Paris,54
Business,Germany,Beijing,14
Business,France,Toronto,39
Student,Germany,Paris,36
Family,Japan,New York,12
Tourist,USA,Sao Paulo,11
Family,Brazil,Beijing,46
Family,China,Delhi,31
Business,USA,Paris,60
Business,UK,New York,32
Business,Brazil,New York,12
Business,India,Toronto,28
Tourist,France,Delhi,15
Work,Canada,Sydney,41
Student,Canada,Paris,11
Business,France,Berlin,20
Business,Japan,Sao Paulo,35
Student,Japan,Sydney,30
Business,Brazil,Delhi,39
Work,Japan,Tokyo,19
Family,USA,Berlin,53
Student,Germany,London,57
Tourist,Germany,Beijing,21
Student,China,London,59
Work,Canada,Beijing,33
Tourist,Australia,Delhi,28
Family,Germany,London,45
Business,USA,Toronto,40
Student,Brazil,Toronto,18
Tourist,USA,Tokyo,55
Student,USA,Toronto,31
Family,Canada,Delhi,35
Student,Australia,Toronto,12
Tourist,Australia,Berlin,48
Work,UK,Beijing,21
Tourist,China,Berlin,43
Student,Germany,Sao Paulo,15
Family,Germany,New York,50
Business,Australia,New York,52
Business,India,Berlin,32
Family,Brazil,London,23
Student,Australia,Berlin,33
Family,India,London,50
Student,Canada,Sydney,46
Tourist,Australia,Berlin,58
Work,Germany,Toronto,17
Student,France,Berlin,29
Business,Japan,Beijing,31
Business,Australia,Delhi,40
Work,Germany,Paris,16
Student,China,Sao Paulo,46
Work,Brazil,Sao Paulo,56
Tourist,Germany,New York,56
Work,Brazil,Tokyo,18
Tourist,India,Sydney,38
Business,UK,Toronto,26
Tourist,India,Sydney,33
Student,France,Sao Paulo,25
Student,UK,Delhi,44
Student,Germany,Beijing,42
Student,USA,Sydney,26
Family,Canada,Sydney,42
Tourist,UK,Sydney,52
Student,Brazil,Berlin,34
Work,UK,Tokyo,36
Work,Canada,Tokyo,46
Family,France,London,54
Tourist,USA,Beijing,26
Tourist,China,Delhi,53
Tourist,China,Delhi,42
Family,Canada,Beijing,40
Tourist,Australia,Sydney,15
Tourist,Japan,London,38
Student,Canada,Toronto,13
Tourist,Brazil,Tokyo,43
Student,France,Delhi,27
Student,Canada,Delhi,33
Tourist,UK,New York,55
Work,Australia,Sydney,31
Business,China,Sao Paulo,11
Work,Canada,Tokyo,34
Tourist,France,Paris,23
Tourist,China,Toronto,52
Work,Germany,Paris,48
Tourist,UK,Toronto,28
Student,China,Sao Paulo,34
Family,France,Sao Paulo,45
Tourist,France,London,10
Tourist,Japan,Berlin,24
Work,China,Sydney,34
Student,Brazil,Berlin,59
Work,China,Toronto,19
Work,Canada,Paris,27
Tourist,Canada,Paris,18
Student,UK,Toronto,11
Tourist,India,Sao Paulo,32
Tourist,Brazil,Berlin,17
Tourist,India,Beijing,58
Tourist,France,Berlin,15
Family,China,Sydney,30
Business,Brazil,New York,16
Student,USA,New York,35
Family,Australia,Sao Paulo,46
Business,Japan,Berlin,52
Business,Canada,Berlin,13
Business,UK,London,27
Family,China,London,19
Student,USA,New York,42
Work,Germany,Sao Paulo,60
Business,China,Sao Paulo,32
Work,China,Sydney,15
Work,France,Sydney,16
Tourist,Brazil,Tokyo,49
Work,Canada,Sydney,35
Tourist,UK,Paris,13
Student,Australia,Toronto,13
Student,France,Paris,42
Tourist,Brazil,New York,46
Student,India,Tokyo,58
Business,Japan,Sydney,45
Student,China,Toronto,14
Tourist,Canada,New York,55
Business,Brazil,Sao Paulo,38
Work,UK,Delhi,20
Work,Japan,London,35
Work,Australia,Sao Paulo,22
Tourist,India,Paris,38
Work,Japan,Berlin,24
Student,Canada,Tokyo,55
Work,UK,Berlin,17
Family,China,Toronto,59
Family,Canada,Delhi,36
Work,India,Beijing,48
Work,Brazil,Toronto,14
Family,UK,Tokyo,60
Work,Germany,Toronto,56
Business,Japan,Tokyo,28
Family,Australia,Toronto,14
Tourist,China,Tokyo,11
Family,China,Sydney,32
Student,Japan,Sao Paulo,47
Business,India,Delhi,36
Tourist,Australia,Beijing,35
Work,China,Sao Paulo,45
Student,UK,Sao Paulo,49
Student,India,London,30
Business,Canada,Tokyo,17
Tourist,China,Delhi,49
Student,Brazil,Berlin,47
Tourist,China,Delhi,34
Tourist,France,Sydney,17
Student,USA,New York,30
Tourist,Brazil,Berlin,39
Business,Brazil,New York,27
Student,China,London,54
Business,India,Sao Paulo,37
Business,USA,Toronto,36
Tourist,Brazil,Toronto,18
Tourist,Brazil,Sydney,19
Student,UK,Berlin,50
Work,India,Berlin,49
Student,USA,Delhi,42
Business,Germany,Sydney,19
Tourist,Brazil,Delhi,41
Business,Brazil,Sydney,54
Family,Australia,Tokyo,23
Family,USA,Beijing,27
Business,India,New York,11
Work,Brazil,Beijing,45
Work,Japan,Berlin,20
Student,India,London,28
Student,Brazil,Sao Paulo,50
Student,Canada,Sydney,38
Tourist,Japan,Sao Paulo,28
Work,Japan,New York,50
Business,Australia,New York,57
Family,UK,Delhi,23
Work,USA,Sao Paulo,46
Work,UK,New York,32
Work,India,Berlin,33
Student,UK,Toronto,38
Tourist,USA,Beijing,18
Business,France,Berlin,27
Student,Brazil,Tokyo,50
Tourist,Germany,Paris,10
Work,India,Sao Paulo,33
Tourist,India,New York,29
Student,Canada,Delhi,13
Work,China,Tokyo,22
Student,France,London,23
Business,France,Tokyo,23
Work,UK,Berlin,35
Tourist,Canada,Sydney,35
Student,Germany,London,53
Family,France,London,47
Tourist,UK,Delhi,14
Tourist,France,Toronto,14
Work,Brazil,Sao Paulo,14
Tourist,Japan,Toronto,27
Student,UK,Sao Paulo,51
Family,USA,Delhi,30
Business,USA,Berlin,60
Family,Canada,Paris,34
Student,Brazil,New York,47
Work,India,Paris,23
Student,Australia,Sao Paulo,58
Tourist,Germany,Delhi,50
Work,Canada,Sao Paulo,52
Business,France,Delhi,49
Business,Australia,Sao Paulo,51
Student,India,Toronto,57
Tourist,Japan,Paris,39
Business,Canada,Tokyo,31
Family,Canada,Berlin,27
Work,India,Paris,60
Family,Canada,Toronto,19
Business,UK,Sao Paulo,33
Business,Brazil,Sydney,37
Student,UK,Berlin,57
Student,Brazil,Tokyo,18
Work,France,London,34
Student,Japan,Berlin,25
Tourist,Australia,Delhi,20
Work,UK,Tokyo,58
Tourist,France,Sydney,18
Student,UK,London,18
Work,Germany,New York,57
Business,USA,Toronto,59
Family,Australia,London,42
Business,France,New York,58
Tourist,UK,New York,12
Business,Japan,New York,10
Business,Japan,Toronto,45
Family,UK,London,57
Family,UK,Sydney,29
Business,Canada,Sao Paulo,33
Family,Japan,London,38
Business,India,Toronto,43
Work,India,Paris,14
Business,India,Paris,50
Student,China,Beijing,28
Family,Germany,Berlin,43
Family,USA,Delhi,11
Tourist,UK,New York,52
Tourist,China,Delhi,21
Student,India,Beijing,20
Family,USA,Sydney,57
Family,USA,New York,31
Tourist,Australia,New York,32
Tourist,China,Berlin,49
Business,Germany,Paris,26
Family,France,New York,54
Family,USA,Paris,44
Business,USA,Beijing,49
Family,Canada,Sydney,19
Student,China,New York,36
Tourist,Brazil,Tokyo,20
Tourist,USA,Paris,59
Tourist,Japan,Sao Paulo,51
Work,Japan,Beijing,15
Student,Brazil,London,17
Student,China,Delhi,24
Business,USA,Toronto,26
Work,UK,London,10
Family,France,Beijing,20
Student,France,New York,56
Work,Germany,Tokyo,37
Work,China,Beijing,51
Student,India,Beijing,18
Business,Brazil,Sao Paulo,27
Work,Japan,Toronto,21
Tourist,Germany,Paris,22
Work,India,Paris,45
Family,Canada,Toronto,55
Student,UK,Beijing,31
Family,USA,Berlin,38
Business,UK,Sao Paulo,44
Tourist,Australia,London,39
Student,Germany,Delhi,21
Work,Brazil,London,10
Tourist,Japan,Berlin,27
Work,Brazil,Sydney,25
Business,Germany,Sao Paulo,57
Student,India,Delhi,34
Business,Germany,New York,36
Business,India,London,22
Business,France,Sao Paulo,49
Business,USA,Sao Paulo,45
Work,USA,Toronto,30
Family,India,Tokyo,16
Work,Japan,Paris,14
Tourist,France,Delhi,29
Business,Japan,Paris,18
Tourist,France,Beijing,16
Work,China,Toronto,11
Business,Japan,Toronto,26
Work,France,London,50
Business,India,Paris,12
Work,Brazil,London,41
Student,Canada,Delhi,35
Family,Japan,Toronto,18
Family,France,Paris,47
Business,India,Sydney,27
Student,Australia,Toronto,14
Tourist,Australia,Delhi,47
Student,USA,London,48
Business,USA,London,29
Student,India,Tokyo,37
Tourist,Australia,Paris,37
Business,Japan,Tokyo,59
Family,France,New York,34
Student,Canada,Tokyo,35
Family,France,Paris,29
Family,USA,London,32
Work,Australia,Paris,23
Tourist,USA,Toronto,42
Student,France,Sao Paulo,60
Family,USA,Tokyo,33
Family,Canada,New York,49
Tourist,Germany,Delhi,13
Family,Germany,New York,54
Family,China,New York,24
Family,France,Sydney,55
Family,Germany,Tokyo,52
Work,Brazil,Tokyo,28
Work,Canada,Sydney,32
Business,China,London,57
Student,USA,Beijing,15
Tourist,USA,Toronto,46
Business,China,New York,24
Work,France,Sao Paulo,26
Work,Australia,Tokyo,24
Work,Japan,Delhi,36
Business,USA,Delhi,17
Work,Germany,Toronto,55
Business,India,Beijing,40
Work,USA,Sao Paulo,48
Family,Japan,Sydney,51
Family,France,Sao Paulo,26
Student,Japan,Tokyo,57
Work,Germany,Delhi,32
Student,Brazil,Delhi,14
Business,Japan,Berlin,45
Student,China,London,54
Work,UK,Sao Paulo,59
Business,China,Sao Paulo,37
Business,Canada,Sao Paulo,26
Family,Brazil,London,47
Business,China,Tokyo,44
Business,China,Toronto,46
Student,Germany,Berlin,38
Business,China,Sydney,37
Tourist,China,Delhi,42
Family,Japan,Beijing,34
Family,Japan,Paris,25
Business,Canada,Berlin,12
Student,Japan,Toronto,39
Family,USA,Toronto,54
Family,Canada,Tokyo,37
Tourist,Germany,Tokyo,46
Business,France,Sydney,10
Family,Canada,Tokyo,55
Family,Japan,Berlin,24
Family,UK,Sydney,34
Family,France,New York,12
Student,Japan,London,29
Work,Germany,Tokyo,22
Tourist,Canada,Delhi,56
Student,Japan,Berlin,12
Tourist,France,Delhi,40
Family,France,Sao Paulo,58
Tourist,Australia,Berlin,18
Business,USA,Paris,36
Business,China,London,27
Work,India,New York,57
Work,Brazil,Toronto,40
Tourist,Canada,London,59
Student,Brazil,Sao Paulo,45
Student,India,Berlin,10
Family,Australia,Sao Paulo,39
Student,Brazil,New York,60
Work,France,Berlin,55
Student,Brazil,New York,51
Family,India,Berlin,15
Business,Australia,Berlin,42
Student,China,Beijing,36
Student,Japan,Sao Paulo,46
Work,France,London,14
Tourist,China,Tokyo,13
Business,USA,Delhi,24
Tourist,Australia,Beijing,23
Family,UK,Sao Paulo,59
Family,India,Beijing,45
Tourist,Germany,Paris,11
Work,China,Beijing,51
Work,Japan,Sao Paulo,60
Work,Brazil,Toronto,56
Business,Brazil,Beijing,58
Family,UK,Delhi,28
Family,Brazil,Paris,42
Family,Brazil,New York,17
Business,Brazil,Sao Paulo,58
Family,India,Toronto,10
Tourist,USA,Sao Paulo,19
Student,China,New York,22
Business,Germany,Toronto,32
Student,France,Beijing,11
Tourist,China,Sao Paulo,55
Work,UK,Sydney,13
Work,Brazil,London,10
Work,Japan,Sydney,60
Business,France,New York,54
Work,Australia,London,28
Business,Japan,New York,16
Business,France,Toronto,18
Student,Germany,Toronto,34
Work,Australia,Paris,13
Family,Brazil,Sydney,46
Work,UK,Berlin,23
Work,Australia,Tokyo,31
Work,China,Beijing,21
Family,Canada,Sydney,57
Family,Germany,Berlin,19
Business,Germany,London,37
Family,Japan,Paris,19
Business,Japan,Beijing,54
Student,Australia,Beijing,57
Business,Australia,New York,49
Work,USA,Tokyo,43
Tourist,France,Tokyo,16
Tourist,UK,Sao Paulo,14
Work,India,Sao Paulo,30
Business,China,Toronto,16
Work,Canada,Paris,10
Family,UK,Paris,42
Business,Germany,Delhi,34
Work,Canada,London,53
Family,Brazil,New York,51
Family,Canada,Toronto,33
Business,Australia,London,51
Student,Australia,Berlin,17
Student,Japan,New York,39
Family,UK,London,23
Student,France,Berlin,39
Family,Germany,London,18
Student,Japan,London,33
Family,Canada,Toronto,10
Family,Germany,Delhi,29
Family,France,London,46
Family,Japan,New York,39
Tourist,France,New York,52
Student,USA,London,56
Family,Australia,New York,55
Work,China,London,45
Business,China,Toronto,35
Work,Japan,Sao Paulo,23
Work,Germany,Sao Paulo,47
Tourist,Australia,Berlin,15
Student,USA,Beijing,25
Tourist,India,Berlin,33
Student,Brazil,Toronto,48
Family,China,Tokyo,12
Tourist,Japan,Beijing,24
Business,China,London,52
Student,USA,New York,42
Tourist,France,Sao Paulo,34
Business,Australia,Beijing,49
Work,India,New York,15
Family,China,Beijing,36
Family,Brazil,London,43
Work,Canada,Tokyo,38
Tourist,India,Toronto,27
Work,USA,London,15
Business,Japan,Berlin,42
Student,India,New York,58
Tourist,France,Sao Paulo,13
Student,Japan,Sydney,38
Work,USA,Delhi,16
Family,USA,Paris,19
Student,Germany,Sydney,49
Student,Brazil,Paris,23
Family,Japan,Beijing,29
Student,Brazil,London,42
Student,Japan,Sao Paulo,19
Family,UK,Beijing,20
Family,Germany,Berlin,44
Work,Australia,Sydney,47
Work,France,Tokyo,44
Student,France,Berlin,36
Tourist,France,London,23
Work,France,Sao Paulo,12
Work,Brazil,Toronto,30
Tourist,Australia,Paris,50
Tourist,Japan,Toronto,27
Family,Canada,Toronto,55
Work,China,London,40
Business,Germany,Beijing,60
Business,UK,Tokyo,34
Student,France,Tokyo,36
Work,France,London,11
Business,Canada,Toronto,51
Work,Brazil,Paris,36
Work,France,Toronto,29
Business,UK,Berlin,20
Work,UK,Sao Paulo,58
Tourist,China,London,53
Student,Japan,New York,21
Family,Canada,New York,33
Business,Australia,Tokyo,23
Family,China,Delhi,20
Student,Japan,Delhi,58
Tourist,China,New York,50
Tourist,UK,Sydney,29
Tourist,USA,Sydney,45
Tourist,UK,Sydney,58
Business,India,Sydney,41
Business,France,Sydney,60
Work,India,Paris,60
Work,Australia,Sydney,36
Student,USA,Tokyo,49
Work,UK,Toronto,53
Student,Japan,Beijing,54
Student,Japan,Delhi,32
Student,Australia,New York,31
Tourist,Germany,Beijing,31
Family,Canada,Tokyo,54
Family,Germany,Beijing,20
Business,Australia,Paris,56
Student,Canada,New York,21
Tourist,UK,Delhi,49
Work,USA,Tokyo,45
Work,Canada,Sao Paulo,45
Business,France,Sydney,13
Business,Canada,Sao Paulo,22
Student,UK,Toronto,30
Student,Brazil,London,47
Work,UK,Tokyo,28
Work,Canada,New York,53
Work,Japan,Sao Paulo,55
Work,France,Paris,31
Family,Germany,Beijing,46
Student,Canada,Berlin,51
Student,Japan,Paris,47
Work,USA,Delhi,25
Tourist,Australia,Sao Paulo,31
Work,Germany,Delhi,42
Business,Germany,Tokyo,23
Tourist,China,Tokyo,19
Business,USA,Sao Paulo,27
Tourist,India,Delhi,25
Business,India,Toronto,35
Work,UK,Beijing,43
Work,Germany,Sao Paulo,23
Tourist,Canada,Beijing,51
Business,Germany,New York,46
Family,Japan,Toronto,44
Tourist,France,New York,42
Tourist,India,London,14
Student,China,Paris,47
Tourist,Canada,Tokyo,20
Family,Germany,Tokyo,59
Work,France,Berlin,49
Business,France,Beijing,28
Student,China,Tokyo,59
Business,Germany,Delhi,15
Work,USA,New York,40
Tourist,Japan,Sao Paulo,26
Family,Australia,Toronto,49
Student,China,Toronto,46
Family,Australia,Toronto,20
Family,Germany,Paris,58
Family,Brazil,Sao Paulo,50
Family,France,New York,25
Work,China,Sao Paulo,16
Family,Japan,Tokyo,42
Family,Australia,Toronto,54
Work,India,Berlin,48
Business,UK,Tokyo,44
Work,India,Toronto,27
Tourist,Australia,Beijing,55
Work,Australia,Tokyo,51
Business,Germany,Paris,12
Tourist,India,London,41
Tourist,India,Beijing,38
Student,Canada,Tokyo,40
Family,Canada,Delhi,44
Tourist,India,Berlin,22
Tourist,Germany,Sao Paulo,50
Business,Germany,London,13
Tourist,Australia,Sao Paulo,51
Business,Germany,Berlin,19
Family,Australia,Tokyo,57
Student,Brazil,Sao Paulo,29
Student,USA,Delhi,39
Family,Canada,Beijing,35
Family,Germany,London,38
Work,USA,Sydney,54
Tourist,Canada,Beijing,43
Tourist,UK,Toronto,34
Tourist,Japan,Toronto,42
Business,Brazil,London,18
Work,India,Berlin,25
Tourist,Germany,Sydney,18
Business,Brazil,Tokyo,24
Business,China,Toronto,18
Student,Canada,London,59
Business,India,Toronto,31
Family,Canada,Sao Paulo,24
Business,France,Tokyo,36
Family,Australia,Toronto,10
Family,USA,Berlin,49
Student,USA,Delhi,16
Student,Japan,Berlin,19
Business,India,Beijing,49
Student,USA,Toronto,33
Student,France,Paris,44
Tourist,Australia,Paris,48
Business,UK,Toronto,35
Business,UK,New York,18
Business,Japan,Sydney,59
Student,USA,Sydney,44
Student,Brazil,Delhi,45
Family,Canada,Toronto,15
Work,Germany,Beijing,50
Work,Australia,Delhi,18
Work,India,Paris,31
Tourist,Brazil,Paris,56
Student,UK,New York,31
Family,Canada,Sao Paulo,19
Family,UK,Tokyo,17
Work,UK,London,42
Tourist,Canada,London,42
Tourist,France,Beijing,35
Work,Brazil,Berlin,34
Work,France,New York,40
Student,France,Sao Paulo,27
Tourist,Australia,New York,41
Family,Japan,Tokyo,23
Work,Canada,Beijing,55
Student,Brazil,Berlin,18
Family,Germany,Tokyo,46
Tourist,India,Berlin,16
Work,China,Toronto,60
Work,India,Delhi,23
Student,Brazil,Tokyo,28
Student,USA,Paris,26
Tourist,Australia,Toronto,54
Work,India,Tokyo,31
Student,Japan,Paris,43
Work,Australia,Beijing,17
Tourist,France,New York,49
Work,Brazil,Tokyo,50
Family,Brazil,Tokyo,57
Work,France,Berlin,44
Business,USA,Paris,19
Business,USA,Beijing,19
Tourist,UK,Sao Paulo,50
Tourist,France,Beijing,59
Tourist,France,Delhi,11
Family,Canada,Tokyo,15
Family,USA,Sao Paulo,37
Work,China,Tokyo,26
Student,China,Toronto,42
Business,Germany,Berlin,22
Business,China,London,38
Business,Brazil,Paris,47
Work,Australia,Tokyo,15
Work,USA,Paris,28
Tourist,USA,Toronto,59
Student,Canada,Sydney,29
Tourist,India,London,50
Work,USA,London,42
Family,UK,Berlin,31
Tourist,Japan,Tokyo,17
Work,Japan,Tokyo,11
Work,Germany,New York,29
Family,Canada,Berlin,19
Family,USA,Paris,39
Family,USA,Delhi,41
Student,France,Sao Paulo,13
Work,UK,Beijing,40
Family,Germany,Tokyo,20
Student,Australia,Tokyo,22
Business,Australia,Toronto,13
Business,UK,Berlin,43
Business,Australia,Sydney,31
Work,China,Beijing,49
Student,India,Berlin,18
Student,France,London,56
Business,Japan,Delhi,28
Tourist,UK,New York,39
Business,India,Berlin,13
Work,India,Sao Paulo,31
Business,India,Beijing,44
Business,Japan,Berlin,60
Student,Brazil,Paris,34
Business,Canada,Berlin,28
Family,UK,Toronto,49
Family,Brazil,Delhi,44
Tourist,Japan,Sydney,11
Work,Brazil,Berlin,28
Work,Japan,Beijing,47
Student,Australia,London,44
Work,Canada,Sydney,28
Tourist,India,Sao Paulo,12
Family,Australia,London,33
Student,Canada,Sao Paulo,34
Family,Japan,Paris,22
Tourist,Germany,Toronto,12
Student,UK,Sydney,15
Business,Canada,London,42
Work,Australia,Delhi,56
Tourist,USA,Delhi,51
Student,Germany,Toronto,13
Family,Japan,Toronto,36
Student,Brazil,Delhi,40
Business,Japan,Sydney,20
Tourist,Canada,Tokyo,40
Student,France,Beijing,56
Tourist,Japan,Paris,41
Tourist,Australia,Berlin,36
Family,China,Sydney,19
Work,China,New York,11
Business,UK,Tokyo,48
Student,Japan,Sao Paulo,55
Work,Brazil,Sydney,53
Family,Australia,Sao Paulo,58
Work,France,Delhi,37
Tourist,USA,Sao Paulo,58
Tourist,China,Toronto,16
Business,USA,Sydney,24
Student,UK,Paris,47
Student,USA,Sao Paulo,13
Family,Japan,Beijing,31
